,country,year,energy_cons_change_pct,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity,per_capita_electricity,population,gdp
14562,Spain,2009,-7.553,291.528,3.488,35.91,164.687,107.746,26.411,52.761,21.031,74.08,6.064,38.117,6258.114,46584000.0,1550000000000.0
14563,Spain,2010,2.473,298.161,4.015,25.334,138.395,94.851,42.304,61.99,18.21,97.776,7.186,44.271,6353.182,46931000.0,1520000000000.0
14564,Spain,2011,-1.877,291.361,4.609,43.98,146.121,85.508,30.596,57.718,16.633,87.522,9.399,42.918,6188.111,47084000.0,1500000000000.0
14565,Spain,2012,-0.546,293.767,4.977,55.074,145.335,73.308,20.545,61.47,16.953,86.962,11.968,49.472,6241.987,47063000.0,1490000000000.0
14566,Spain,2013,-5.339,281.444,5.799,39.941,113.313,57.536,36.865,56.726,15.836,111.406,13.096,55.646,5996.984,46931000.0,1490000000000.0
14567,Spain,2014,-1.909,274.948,5.414,43.807,107.375,47.274,39.169,57.305,16.294,110.268,13.672,52.013,5877.729,46778000.0,1520000000000.0
14568,Spain,2015,1.331,277.468,5.764,51.366,123.183,52.499,28.14,57.196,19.318,97.088,13.859,49.325,5945.055,46672000.0,1570000000000.0
14569,Spain,2016,0.932,271.196,5.69,36.434,107.93,52.828,36.395,58.633,18.668,104.633,13.643,48.905,5815.405,46634000.0,1480000000000.0
14570,Spain,2017,1.307,272.887,6.078,45.127,126.924,64.039,18.322,58.039,17.758,87.924,14.397,49.127,5850.044,46647000.0,
14571,Spain,2018,1.384,271.889,5.911,37.341,112.238,58.004,34.334,55.766,16.893,103.885,12.744,50.896,5822.907,46693000.0,
14572,Spain,2019,-1.669,271.518,5.882,12.25,112.763,84.101,24.909,58.448,16.411,100.308,15.147,54.369,5809.495,46737000.0,
14889,Sweden,2000,-7.611,145.231,4.098,1.636,4.775,0.484,78.584,57.316,2.655,83.14,0.001,0.457,16351.207,8882000.0,323000000000.0
14890,Sweden,2001,7.358,161.595,3.777,1.879,6.165,0.395,79.06,72.109,3.891,83.321,0.002,0.482,18160.769,8898000.0,317000000000.0
14891,Sweden,2002,-6.24,146.7,4.175,2.373,7.444,0.556,66.36,68.111,4.515,71.145,0.002,0.608,16444.308,8921000.0,323000000000.0
14892,Sweden,2003,-3.953,135.379,4.51,2.846,9.233,0.73,53.54,67.415,5.657,58.731,0.002,0.679,15124.435,8951000.0,330000000000.0
14893,Sweden,2004,7.389,151.684,7.201,1.01,6.011,0.776,60.123,77.486,4.225,68.187,0.002,0.86,16870.664,8991000.0,346000000000.0
14894,Sweden,2005,2.556,158.362,7.49,0.648,4.755,0.597,72.803,72.377,3.51,81.23,0.002,0.935,17519.887,9039000.0,343000000000.0
14895,Sweden,2006,-5.971,143.283,8.359,0.879,5.239,0.596,61.722,66.977,3.764,71.068,0.002,0.984,15752.347,9096000.0,361000000000.0
14896,Sweden,2007,1.289,148.819,9.836,0.649,4.426,0.834,66.159,66.969,2.943,77.424,0.003,1.426,16241.285,9163000.0,387000000000.0
14897,Sweden,2008,-1.705,149.896,10.337,0.514,4.598,0.618,69.069,63.889,3.466,81.409,0.004,1.998,16229.484,9236000.0,390000000000.0
14898,Sweden,2009,-8.433,136.609,11.46,0.515,4.626,1.563,65.852,52.173,2.548,79.81,0.007,2.491,14668.601,9313000.0,375000000000.0
14899,Sweden,2010,5.964,148.443,12.191,1.022,8.53,2.909,66.398,57.828,4.599,82.085,0.009,3.487,15808.574,9390000.0,394000000000.0
14900,Sweden,2011,-1.22,150.283,11.536,0.657,5.72,1.582,66.434,60.475,3.481,84.088,0.011,6.107,15874.457,9467000.0,398000000000.0
14901,Sweden,2012,5.924,166.434,12.194,0.483,4.088,0.915,78.932,64.037,2.69,98.309,0.019,7.164,17440.428,9543000.0,405000000000.0
14902,Sweden,2013,-6.124,153.031,11.45,0.653,3.886,0.854,61.361,66.457,2.379,82.688,0.035,9.842,15910.882,9618000.0,406000000000.0
14903,Sweden,2014,-0.481,153.553,10.696,0.371,2.935,0.422,63.763,64.877,2.142,85.741,0.047,11.235,15843.269,9692000.0,409000000000.0
14904,Sweden,2015,3.091,161.985,10.765,0.387,3.141,0.446,75.312,56.348,2.308,102.496,0.097,16.322,16588.375,9765000.0,426000000000.0
14905,Sweden,2016,-1.587,155.891,11.487,0.263,3.663,0.679,62.018,63.101,2.721,89.127,0.143,15.479,15848.987,9836000.0,440000000000.0
14906,Sweden,2017,3.199,164.225,12.076,0.322,3.471,0.328,65.143,65.696,2.821,95.058,0.23,17.609,16580.01,9905000.0,
14907,Sweden,2018,-1.97,163.359,11.913,0.335,3.657,0.385,62.21,68.549,2.937,91.153,0.407,16.623,16381.769,9972000.0,
14908,Sweden,2019,3.47,170.601,12.873,0.335,3.657,0.385,66.568,67.176,2.937,99.768,0.407,19.92,16998.941,10036000.0,
14945,Switzerland,2000,-2.372,64.369,1.746,0.0,1.019,0.0,36.466,25.124,1.019,38.226,0.011,0.003,9010.213,7144000.0,313000000000.0
14946,Switzerland,2001,6.742,69.239,1.831,0.0,1.027,0.0,40.895,25.47,1.027,42.742,0.012,0.004,9644.717,7179000.0,312000000000.0
14947,Switzerland,2002,-6.791,63.686,1.883,0.0,1.05,0.0,34.862,25.872,1.05,36.764,0.014,0.005,8820.773,7220000.0,319000000000.0
14948,Switzerland,2003,-1.075,63.606,1.9,0.0,1.1,0.0,34.471,26.113,1.1,36.393,0.017,0.005,8751.486,7268000.0,318000000000.0
14949,Switzerland,2004,-1.421,62.109,1.987,0.0,1.078,0.0,33.411,25.61,1.078,35.421,0.017,0.006,8480.227,7324000.0,329000000000.0
14950,Switzerland,2005,-3.975,56.178,2.109,0.0,1.019,0.0,30.914,22.109,1.019,33.05,0.019,0.008,7604.924,7387000.0,345000000000.0
14951,Switzerland,2006,4.074,60.32,2.334,0.0,0.926,0.0,30.649,26.373,0.926,33.021,0.023,0.015,8087.936,7458000.0,369000000000.0
14952,Switzerland,2007,-1.358,64.595,2.303,0.0,0.862,0.0,34.898,26.489,0.862,37.244,0.027,0.016,8570.391,7537000.0,404000000000.0
14953,Switzerland,2008,3.371,65.197,2.389,0.0,0.804,0.0,35.676,26.275,0.804,38.118,0.034,0.019,8552.651,7623000.0,427000000000.0
14954,Switzerland,2009,-0.271,64.843,2.373,0.0,0.764,0.0,35.366,26.267,0.764,37.812,0.05,0.023,8405.872,7714000.0,427000000000.0
14955,Switzerland,2010,-2.676,64.633,2.425,0.0,1.03,0.0,35.704,25.343,1.03,38.26,0.094,0.037,8276.758,7809000.0,433000000000.0
14956,Switzerland,2011,-5.041,61.482,2.53,0.0,0.951,0.0,32.069,25.694,0.951,34.837,0.168,0.07,7775.663,7907000.0,473000000000.0
14957,Switzerland,2012,5.503,66.696,2.741,0.0,0.904,0.0,38.218,24.445,0.904,41.347,0.3,0.088,8328.706,8008000.0,495000000000.0
14958,Switzerland,2013,2.645,67.157,2.866,0.0,0.75,0.0,38.08,24.871,0.75,41.536,0.5,0.09,8281.8,8109000.0,505000000000.0
14959,Switzerland,2014,-4.673,68.581,3.005,0.0,0.506,0.0,37.659,26.468,0.506,41.607,0.842,0.101,8357.387,8206000.0,514000000000.0
14960,Switzerland,2015,-2.209,64.707,2.818,0.0,0.625,0.0,37.879,22.156,0.625,41.926,1.119,0.11,7798.855,8297000.0,518000000000.0
14961,Switzerland,2016,-5.919,59.857,2.993,0.0,0.838,0.0,34.281,20.303,0.838,38.716,1.333,0.109,7142.897,8380000.0,525000000000.0
14962,Switzerland,2017,0.238,58.981,3.106,0.0,0.714,0.0,33.754,19.591,0.714,38.676,1.683,0.133,6975.095,8456000.0,
14963,Switzerland,2018,1.506,64.887,3.082,0.0,0.606,0.0,34.637,24.496,0.606,39.785,1.944,0.122,7610.521,8526000.0,
14964,Switzerland,2019,0.188,69.251,3.301,0.0,0.661,0.0,37.66,25.37,0.661,43.22,2.111,0.148,8060.913,8591000.0,
16228,United Kingdom,2000,0.855,374.375,3.936,119.95,279.342,148.077,5.086,85.063,11.315,9.97,0.001,0.947,6353.631,58923000.0,2030000000000.0
16229,United Kingdom,2001,1.105,382.368,4.526,131.461,282.725,141.905,4.056,90.094,9.359,9.549,0.002,0.965,6467.219,59124000.0,2090000000000.0
16230,United Kingdom,2002,-2.247,384.593,5.079,124.279,285.62,152.276,4.788,87.848,9.065,11.125,0.003,1.256,6482.707,59326000.0,2110000000000.0
16231,United Kingdom,2003,1.418,395.466,6.104,138.305,296.161,148.881,3.228,88.686,8.975,10.619,0.003,1.285,6639.687,59561000.0,2120000000000.0
16232,United Kingdom,2004,0.532,391.279,7.355,131.788,297.142,157.065,4.844,79.999,8.289,14.138,0.004,1.935,6535.149,59873000.0,2190000000000.0
16233,United Kingdom,2005,1.09,395.425,9.103,134.637,296.87,152.64,4.921,81.618,9.593,16.937,0.008,2.904,6558.93,60288000.0,2290000000000.0
16234,United Kingdom,2006,-1.222,393.431,9.278,148.85,299.874,140.828,4.593,75.451,10.196,18.106,0.011,4.225,6468.671,60821000.0,2340000000000.0
16235,United Kingdom,2007,-2.964,392.973,9.326,135.945,310.255,165.793,5.077,63.028,8.517,19.691,0.014,5.274,6394.488,61455000.0,2340000000000.0
16236,United Kingdom,2008,-1.809,384.831,9.567,124.382,310.498,176.219,5.141,52.486,9.897,21.847,0.017,7.122,6192.472,62145000.0,2340000000000.0
16237,United Kingdom,2009,-4.955,373.07,10.715,103.037,278.727,166.499,5.228,69.098,9.191,25.245,0.02,9.281,5937.861,62829000.0,2230000000000.0
16238,United Kingdom,2010,2.467,378.919,12.262,107.594,290.598,175.654,3.591,62.14,7.35,26.181,0.04,10.286,5970.997,63460000.0,2210000000000.0
16239,United Kingdom,2011,-5.463,365.078,13.314,108.442,260.885,146.499,5.691,68.98,5.944,35.213,0.244,15.963,5702.384,64022000.0,2220000000000.0
16240,United Kingdom,2012,1.227,360.912,14.735,142.793,249.258,100.17,5.31,70.405,6.295,41.249,1.354,19.847,5593.373,64525000.0,2290000000000.0
16241,United Kingdom,2013,-0.487,355.385,18.101,130.257,231.564,95.843,4.701,70.607,5.464,53.214,2.01,28.397,5468.812,64984000.0,2430000000000.0
16242,United Kingdom,2014,-5.774,335.217,22.62,100.239,206.946,100.893,5.888,63.748,5.814,64.523,4.054,31.959,5123.843,65423000.0,2480000000000.0
16243,United Kingdom,2015,1.123,335.347,28.469,75.878,182.426,99.875,6.297,70.345,6.672,82.576,7.533,40.275,5091.816,65860000.0,2530000000000.0
16244,United Kingdom,2016,-1.191,334.82,28.651,30.669,181.486,143.356,5.394,71.726,7.461,81.608,10.408,37.155,5050.235,66298000.0,2580000000000.0
16245,United Kingdom,2017,-0.283,333.231,30.024,22.53,165.857,136.746,5.902,70.336,6.58,97.038,11.475,49.633,4993.953,66727000.0,
16246,United Kingdom,2018,-0.337,328.244,32.87,16.831,155.05,131.49,5.49,65.064,6.729,108.131,12.857,56.904,4888.805,67142000.0,
16247,United Kingdom,2019,-1.56,319.515,33.968,6.941,145.006,131.276,5.858,57.176,6.788,117.333,12.97,64.527,4731.456,67530000.0,
